OBJECTID,crime_description,district
12521,Miscellaneous/All Other Non-Offenses,Northeast
12522,Miscellaneous/All Other Non-Offenses,Southwest
12523,Miscellaneous/All Other Non-Offenses,Southeast
12524,Family Offenses/Nonviolent (eg: neglect),Downtown
12525,Miscellaneous/Deceased Person,North
12526,Miscellaneous/Found Property,Southeast
12528,Miscellaneous/Mental Commitment,Southwest
12530,Family Offenses/Nonviolent (eg: neglect),Downtown
12533,Miscellaneous/All Other Non-Offenses,Northeast
12534,Miscellaneous/All Other Non-Offenses,Northeast
12535,Miscellaneous/Suicide,Northwest
12536,Miscellaneous/Found Property,Downtown
12537,Miscellaneous/Deceased Person,Northeast
12538,Miscellaneous/Found Property,Southeast
12539,Miscellaneous/All Other Non-Offenses,Downtown
12540,Miscellaneous/Found Property,Downtown
12541,Miscellaneous/Lost Property,Southwest
12542,Miscellaneous/Found Property,Southwest
12544,Miscellaneous/Found Property,Downtown
12545,Miscellaneous/All Other Non-Offenses,Southwest
12546,Miscellaneous/Missing Person (18 & over),North
12548,Miscellaneous/All Other Non-Offenses,Southwest
12549,Miscellaneous/All Other Non-Offenses,North
12550,Miscellaneous/All Other Non-Offenses,Northwest
12551,Miscellaneous/All Other Non-Offenses,Southeast
12552,Miscellaneous/All Other Non-Offenses,Southwest
12553,Miscellaneous/All Other Non-Offenses,Downtown
12554,Miscellaneous/Lost Property,Northwest
12555,Miscellaneous/All Other Non-Offenses,North
12556,Miscellaneous/All Other Non-Offenses,North
12557,Miscellaneous/Mental Commitment,Downtown
12558,Miscellaneous/All Other Non-Offenses,Downtown
12560,Miscellaneous/All Other Non-Offenses,Southeast
12561,Miscellaneous/All Other Non-Offenses,Northeast
12562,Miscellaneous/All Other Non-Offenses,Southeast
12563,Miscellaneous/All Other Non-Offenses,Southeast
12564,Miscellaneous/Found Property,Southwest
12565,Miscellaneous/Found Property,Downtown
12567,Miscellaneous/All Other Non-Offenses,Northeast
12568,Miscellaneous/All Other Non-Offenses,Southwest
12569,Miscellaneous/Deceased Person,Northwest
12570,Miscellaneous/Missing Person (18 & over),Northeast
12571,Miscellaneous/Deceased Person,Southwest
12572,Miscellaneous/Mental Commitment,Northwest
12573,Miscellaneous/Deceased Person,Southwest
12574,Miscellaneous/Lost Property,North
12577,Miscellaneous/All Other Non-Offenses,Northwest
12578,Miscellaneous/All Other Non-Offenses,Downtown
12579,Miscellaneous/All Other Non-Offenses,North
12580,Miscellaneous/All Other Non-Offenses,Southwest
12581,Miscellaneous/Mental Commitment,Downtown
12582,Miscellaneous/All Other Non-Offenses,Southeast
12584,Miscellaneous/Lost Property,Downtown
12585,Miscellaneous/Found Property,North
12586,Miscellaneous/Lost Property,Northwest
12587,Miscellaneous/Lost Property,Southwest
12592,Family Offenses/Nonviolent (eg: neglect),Downtown
12593,Miscellaneous/All Other Non-Offenses,Northeast
12594,Miscellaneous/Mental Commitment,Southeast
12596,Miscellaneous/All Other Non-Offenses,North
12597,Miscellaneous/Found Property,Northwest
12598,Miscellaneous/Found Property,Downtown
12599,Miscellaneous/All Other Non-Offenses,North
12600,Miscellaneous/All Other Non-Offenses,Southeast
12601,Miscellaneous/Missing Person (18 & over),Southwest
12602,Miscellaneous/All Other Non-Offenses,North
12605,Family Offenses/Nonviolent (eg: neglect),Southeast
12606,Miscellaneous/All Other Non-Offenses,Downtown
12607,Miscellaneous/All Other Non-Offenses,Downtown
12608,Miscellaneous/All Other Non-Offenses,Northwest
12609,Miscellaneous/Found Property,Northeast
12610,Miscellaneous/All Other Non-Offenses,North
12611,Miscellaneous/Mental Commitment,North
12613,Miscellaneous/All Other Non-Offenses,Northeast
12614,Miscellaneous/All Other Non-Offenses,Southeast
12615,Miscellaneous/All Other Non-Offenses,Southeast
12616,Miscellaneous/All Other Non-Offenses,Northwest
12618,Miscellaneous/All Other Non-Offenses,North
12619,Miscellaneous/All Other Non-Offenses,Northeast
12620,Miscellaneous/All Other Non-Offenses,Northeast
12622,Miscellaneous/All Other Non-Offenses,Northwest
12623,Miscellaneous/All Other Non-Offenses,Southeast
12624,Miscellaneous/All Other Non-Offenses,Northeast
12625,Miscellaneous/All Other Non-Offenses,Southeast
12626,Miscellaneous/Found Property,North
12627,Miscellaneous/All Other Non-Offenses,Northwest
12628,Miscellaneous/All Other Non-Offenses,Northwest
12630,Miscellaneous/All Other Non-Offenses,Southeast
12631,Miscellaneous/All Other Non-Offenses,North
12632,Miscellaneous/Mental Commitment,Southwest
12634,Miscellaneous/All Other Non-Offenses,North
12635,Miscellaneous/Deceased Person,Northwest
12636,Miscellaneous/Injured Person,North
12637,Miscellaneous/All Other Non-Offenses,Downtown
12638,Juvenile/Runaway,North
12639,Miscellaneous/All Other Non-Offenses,Downtown
12641,Miscellaneous/All Other Non-Offenses,North
12642,Miscellaneous/All Other Non-Offenses,North
12643,Miscellaneous/Suicide,North
12644,Miscellaneous/Mental Commitment,Northwest
12645,Miscellaneous/Deceased Person,Northeast
12646,Miscellaneous/Found Property,North
12647,Miscellaneous/Mental Commitment,Downtown
12648,Miscellaneous/All Other Non-Offenses,Downtown
12650,Miscellaneous/All Other Non-Offenses,Downtown
12651,Miscellaneous/All Other Non-Offenses,Southeast
12652,Miscellaneous/All Other Non-Offenses,North
12653,Miscellaneous/Lost Property,Southwest
12654,Miscellaneous/All Other Non-Offenses,Downtown
12655,Miscellaneous/All Other Non-Offenses,Downtown
12656,Miscellaneous/All Other Non-Offenses,Downtown
12657,Miscellaneous/All Other Non-Offenses,North
12658,Miscellaneous/All Other Non-Offenses,Southeast
12660,Miscellaneous/Mental Commitment,Southwest
12661,Miscellaneous/Lost Property,Northwest
12662,Miscellaneous/Suicide,North
12663,Miscellaneous/Deceased Person,Southwest
12664,Miscellaneous/Deceased Person,Southeast
12665,Miscellaneous/All Other Non-Offenses,Downtown
12666,Miscellaneous/Lost Property,Northeast
12667,Miscellaneous/Deceased Person,Northeast
12668,Miscellaneous/All Other Non-Offenses,Downtown
12669,Miscellaneous/Mental Commitment,Northeast
12670,Miscellaneous/Lost Property,North
12671,Miscellaneous/Suicide,Northwest
12672,Miscellaneous/All Other Non-Offenses,Southeast
12674,Miscellaneous/All Other Non-Offenses,Southwest
