Incident_ID,Offense,Zipcode
74780,DEATH INVESTIGATION,27514
74197,B&E BUSINESS-FORCE,27516
74194,DISTURBANCE,27514
74195,SUSPICIOUS VEHICLE,27516
74200,SIMPLE POSSESSION,27514
74199,INFORMATION,27517
74202,SUSPICIOUS CONDITION,27514
74201,INFORMATION,27514
74205,FOUND PROPERTY,27514
74204,B&E RESIDENCE-FORCE,27514
74208,HARASSING PHONE CALLS-NO THREATS,27517
74217,FRAUD-ALL OTHER,27516
74207,B&E LARCENY F/VEHICLE,27516
74206,FORGERY- USING/UTTERING,27514
74203,LARCENY- ALL OTHER,27514
74225,LARCENY- ALL OTHER,27514
74209,INFORMATION,27514
74216,DISTURBING THE PEACE,27514
74212,LARCENY FROM BUISNESS,27517
74210,B&E RESIDENCE NO FORCE,27516
74211,DAMAGE TO PROPERTY(NON-CRIMINAL),27516
74213,DOMESTIC SIMPLE ASSAULT,27516
74215,LARCENY FROM MOTOR VEHICLE,27516
74214,FORGERY- USING/UTTERING,27514
81378,INVOLUNTARY COMMITMENT-NON CRIMINAL DETAINMENT,27516
74223,FORGERY- USING/UTTERING,27517
74228,B&E RESIDENCE NO FORCE,27517
74222,LARCENY- ALL OTHER,27514
74219,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27517
74220,B&E AUTO,27516
74218,COMMUNITY OUTREACH,27514
74226,DISTURBING THE PEACE,27514
74221,SECURITY SURVEY,27517
74224,COMMUNITY OUTREACH,27516
74232,B&E RESIDENCE-FORCE,27514
74227,B&E LARCENY F/VEHICLE,27516
74760,INFORMATION,27514
74231,DOMESTIC DISTURBANCE/NO ASSAULT/VERBAL,27514
74229,B&E BUSINESS-FORCE,27516
74230,TRAFFIC COMPLAINT,27514
74316,DRUG VIOLATIONS,27516
74344,DISTURBANCE,27514
74865,LARCENY- ALL OTHER,27516
74553,BARKING DOGS,27514
74357,LARCENY- ALL OTHER,27514
74246,B&E BUSINESS-FORCE,27514
74670,LARCENY- ALL OTHER,27516
74599,INFORMATION,27514
74250,ABANDONED VEHICLE,27516
75060,B&E BUSINESS-FORCE,27517
74444,REFUSE TO PAY TAXICAB,27516
74247,SUSPICIOUS PERSON,27510
74251,SUSPICIOUS,27514
74561,DISTURBING THE PEACE,27516
74255,INFORMATION,27514
74858,ALL OTHER FINANCIAL CRIME,27514
74422,INFORMATION,27516
74249,SUSPICIOUS CONDITION,27514
74358,SUSPICIOUS CONDITION,27514
74447,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
74252,TRESPASSING,27514
74355,ASSIST OTHER AGENCY,27516
74575,TRESPASS WARNING,27514
74253,SUSPICIOUS PERSON,27514
74367,CHECK WELL BEING,27516
74424,LOUD MUSIC/PARTY,27514
74258,K-9 SNIFF,27516
74365,SUSPICIOUS PERSON,27516
74423,LOUD MUSIC/PARTY,27514
74261,CHILD NEGLECT (NO ASSAULT),27514
74356,INFORMATION,<Null>
74429,LOUD MUSIC/PARTY/OTHER NOISE,27517
74425,LOUD MUSIC/PARTY,27514
74427,TRESPASSING,27514
74428,REC. STOLEN AUTO FROM ANOTHER JURISDICTION,27514
74426,LOUD MUSIC/PARTY,27514
74430,ASSAULT BY POINTING A GUN,27516
74439,ASSAULT ON FEMALE,27514
74432,TRESPASSING,27516
74433,LARCENY OF PURSE,27514
74434,DISTURBING THE PEACE,27516
74440,SUSPICIOUS CONDITIONS,27514
74435,B&E RESIDENCE-FORCE,27516
74445,B&E RESIDENCE NO FORCE,27516
74438,B&E RESIDENCE-FORCE,27514
74441,DISTURBING THE PEACE,27514
74437,REFUSAL TO LEAVE,27514
74923,MISSING PROPERTY,27517
74778,INFORMATION,27514
74522,LARCENY- ALL OTHER,27514
75071,DRUG VIOLATIONS,27516
74521,LARCENY- ALL OTHER,27514
74779,ALCOHOL VIOLATIONS,27516
75105,AUTOMOBILE THEFT,27517
74520,LARCENY- ALL OTHER,27514
74862,SUSPICIOUS PERSON,27514
74781,SUSPICIOUS PERSON,27514
74924,B&E BUSINESS-FORCE,27516
74783,UNDISCIPLINED CHILD,27514
74928,DISORDERLY CONDUCT AT BUS STOP,27514
74524,UNDISCIPLINED JUVENILE LESS THAN 16 YEARS/BUT OLDER THAN 6,27514
74847,INFORMATION,27514
74949,B&E RESIDENCE-FORCE,27514
74677,CREDIT CARD/ATM FRAUD,27516
74233,FOUND NC DRIVERS LICENSE,27514
74338,DRUG VIOLATIONS,27516
74523,REC. STOLEN REGISTRATION PLATE,27516
74532,DOMESTIC DISTURBANCE/NO ASSAULT,27514
75068,ABANDONED VEHICLE,27516
